Archivo: python_highlevel_cruz_20260905_113802.csv
Duración registrada: 159.56 s

Dron 1: 1530 muestras; altura MoCap máxima = 1.486 m
Dron 1: frecuencia MoCap media = 21.6 Hz; mínima = 11.8 Hz
Dron 1: sobrepaso vertical máximo = +0.625 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=22.656 s | Dron 1 | TAKEOFF_HIGHLEVEL
t=31.14 s | Dron 1 | GOTO_HIGHLEVEL
t=32.39 s | Dron 1 | GOTO_HIGHLEVEL
t=33.656 s | Dron 1 | GOTO_HIGHLEVEL
t=34.922 s | Dron 1 | GOTO_HIGHLEVEL
t=36.172 s | Dron 1 | GOTO_HIGHLEVEL
t=37.453 s | Dron 1 | GOTO_HIGHLEVEL
t=41.187 s | Dron 1 | GOTO_HIGHLEVEL
t=41.437 s | Dron 1 | GOTO_HIGHLEVEL
t=41.703 s | Dron 1 | GOTO_HIGHLEVEL
t=41.968 s | Dron 1 | GOTO_HIGHLEVEL
t=42.25 s | Dron 1 | GOTO_HIGHLEVEL
t=42.515 s | Dron 1 | GOTO_HIGHLEVEL
t=42.781 s | Dron 1 | GOTO_HIGHLEVEL
t=43.062 s | Dron 1 | GOTO_HIGHLEVEL
t=43.312 s | Dron 1 | GOTO_HIGHLEVEL
t=43.562 s | Dron 1 | GOTO_HIGHLEVEL
t=43.828 s | Dron 1 | GOTO_HIGHLEVEL
t=44.109 s | Dron 1 | GOTO_HIGHLEVEL
t=44.375 s | Dron 1 | GOTO_HIGHLEVEL
t=44.64 s | Dron 1 | GOTO_HIGHLEVEL
t=44.922 s | Dron 1 | GOTO_HIGHLEVEL
t=45.187 s | Dron 1 | GOTO_HIGHLEVEL
t=45.453 s | Dron 1 | GOTO_HIGHLEVEL
t=45.734 s | Dron 1 | GOTO_HIGHLEVEL
t=46.0 s | Dron 1 | GOTO_HIGHLEVEL
t=46.281 s | Dron 1 | GOTO_HIGHLEVEL
