Archivo: python_highlevel_cruz_20260905_122559.csv
Duración registrada: 44.94 s

Dron 1: 433 muestras; altura MoCap máxima = 1.262 m
Dron 1: frecuencia MoCap media = 20.2 Hz; mínima = 18.1 Hz
Dron 1: sobrepaso vertical máximo = +0.318 m
Dron 2: 433 muestras; altura MoCap máxima = 1.287 m
Dron 2: frecuencia MoCap media = 20.3 Hz; mínima = 18.1 Hz
Dron 2: sobrepaso vertical máximo = +0.255 m
Separación mínima registrada = 0.257 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=4.265 s | Dron 1 | TAKEOFF_HIGHLEVEL
t=4.265 s | Dron 2 | TAKEOFF_HIGHLEVEL
t=12.25 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=12.25 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.39 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=12.39 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.515 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=12.515 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=12.656 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.781 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=12.781 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.89 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=12.89 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.031 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=13.031 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.156 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=13.156 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.265 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=13.265 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.406 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=13.406 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.531 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=13.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.64 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=13.64 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.765 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=13.765 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.875 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=13.875 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=14.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.109 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=14.109 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.219 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=14.219 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.328 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=14.328 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.469 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=14.469 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.625 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=14.625 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.734 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=14.734 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=14.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.937 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=14.937 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.094 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=15.094 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.219 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=15.219 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.344 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=15.344 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.469 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=15.469 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.578 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=15.578 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.703 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=15.703 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.812 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=15.812 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.922 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=15.922 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.031 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=16.031 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.156 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=16.156 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.281 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=16.281 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.406 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=16.406 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.515 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=16.515 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.64 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=16.64 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.765 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=16.765 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.89 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=16.89 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.109 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.109 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.234 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.234 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.344 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.344 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.484 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.484 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.594 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.594 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.719 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.719 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.969 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.969 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.094 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.094 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.203 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.203 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.328 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.328 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.437 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.437 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.547 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.547 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.656 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.765 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.765 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.89 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.89 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.109 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.109 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.219 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.219 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
